scraped_at_kst,rank,name,code,search_ratio,price,change,change_pct,volume,open,high,low,per,roe
2026-04-26T00:11:13+09:00,1,삼성전자,005930,7.99%,"219,500","하락 5,000",-2.23%,"19,165,257","224,000","225,000","216,500",33.44,10.85
2026-04-26T00:11:13+09:00,2,SK하이닉스,000660,4.65%,"1,222,000","하락 3,000",-0.24%,"3,055,534","1,237,000","1,242,000","1,193,000",20.73,44.15
2026-04-26T00:11:13+09:00,3,두산에너빌리티,034020,3.15%,"127,100","상승 4,500",+3.67%,"5,682,618","123,000","127,950","122,600",962.88,1.11
2026-04-26T00:11:13+09:00,4,현대차,005380,3.01%,"513,000","하락 19,000",-3.57%,"1,228,355","525,000","526,000","510,000",14.52,8.41
2026-04-26T00:11:13+09:00,5,효성중공업,298040,2.94%,"3,552,000","상승 284,000",+8.69%,"95,360","3,292,000","3,588,000","3,279,000",63.71,24.41
2026-04-26T00:11:13+09:00,6,삼성SDI,006400,2.28%,"641,000","상승 11,000",+1.75%,"786,062","648,000","663,000","631,000",-77.00,-3.15
2026-04-26T00:11:13+09:00,7,대우건설,047040,2.26%,"32,800",하락 450,-1.35%,"16,053,400","33,200","34,550","31,900",-14.94,-23.89
2026-04-26T00:11:13+09:00,8,삼성중공업,010140,2.06%,"34,400",상승 400,+1.18%,"11,182,486","35,050","35,100","33,550",55.48,13.74
2026-04-26T00:11:13+09:00,9,LS ELECTRIC,010120,1.92%,"226,500","상승 9,500",+4.38%,"1,695,903","221,000","234,000","218,000",118.52,14.67
2026-04-26T00:11:13+09:00,10,고영,098460,1.82%,"42,300","상한가 9,750",+29.95%,"30,617,109","34,650","42,300","34,450",196.74,4.48
2026-04-26T00:11:13+09:00,11,에코프로,086520,1.71%,"156,600",하락 600,-0.38%,"1,045,704","157,500","159,700","154,100",-141.98,-8.39
2026-04-26T00:11:13+09:00,12,펄어비스,263750,1.65%,"57,000","상승 1,400",+2.52%,"794,083","55,600","58,600","55,600",-435.11,-1.05
2026-04-26T00:11:13+09:00,13,삼천당제약,000250,1.53%,"411,500","상승 31,500",+8.29%,"569,981","374,500","417,500","374,000","1,837.05",1.94
